equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:06:48 +0800] "GET /api/chat/conversations/3/messages HTTP/1.1" 200 11022 "http://10.168.93.93:5020/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:06:59 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:06:59 +0800] "POST /auth/login HTTP/1.1" 302 228 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:06:59 +0800] "GET /api/chat/attachments/6/thumbnail HTTP/1.1" 401 72 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:06:59 +0800] "GET /api/chat/attachments/6/download HTTP/1.1" 401 72 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:06:59 +0800] "GET /api/chat/attachments/8/thumbnail HTTP/1.1" 401 72 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:06:59 +0800] "GET /api/chat/attachments/8/download HTTP/1.1" 401 72 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:06:59 +0800] "GET /api/chat/attachments/9/thumbnail HTTP/1.1" 401 72 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:06:59 +0800] "GET /api/chat/attachments/9/download HTTP/1.1" 401 72 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:06:59 +0800] "GET /api/chat/attachments/10/thumbnail HTTP/1.1" 401 72 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:06:59 +0800] "GET /api/chat/attachments/10/download HTTP/1.1" 401 72 "-" "python-requests/2.32.5"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:07:05 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | [2025-12-22 08:07:25,316] INFO in socketio_handler: ✗ 用户断开: admin (ID: 7)
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:07:25 +0800] "GET /index HTTP/1.1" 200 49164 "http://10.168.93.93:5020/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 08:07:25,443] INFO in socketio_handler: ✓ 用户连接: admin (ID: 7, SID: 1ELh8NgfjOOOrxOhAAAN)
